2024-05-29 16:21:30,073 INFO    MainThread:3478333 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_setup.py:_flush():76] Configure stats pid to 3478333
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_setup.py:_flush():76] Loading settings from /home/mingu/.config/wandb/settings
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_setup.py:_flush():76] Loading settings from /home/mingu/GAN/wandb/settings
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/home/mingu/GAN/train.py', 'program': '/home/mingu/GAN/train.py'}
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_init.py:_log_setup():527] Logging user logs to /home/mingu/GAN/wandb/run-20240529_162130-hyky25uf/logs/debug.log
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_init.py:_log_setup():528] Logging internal logs to /home/mingu/GAN/wandb/run-20240529_162130-hyky25uf/logs/debug-internal.log
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_init.py:init():567] calling init triggers
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {}
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_init.py:init():617] starting backend
2024-05-29 16:21:30,074 INFO    MainThread:3478333 [wandb_init.py:init():621] setting up manager
2024-05-29 16:21:30,077 INFO    MainThread:3478333 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-29 16:21:30,078 INFO    MainThread:3478333 [wandb_init.py:init():629] backend started and connected
2024-05-29 16:21:30,081 INFO    MainThread:3478333 [wandb_init.py:init():721] updated telemetry
2024-05-29 16:21:30,086 INFO    MainThread:3478333 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-05-29 16:21:30,609 INFO    MainThread:3478333 [wandb_run.py:_on_init():2344] communicating current version
2024-05-29 16:21:30,662 INFO    MainThread:3478333 [wandb_run.py:_on_init():2353] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-29 16:21:30,662 INFO    MainThread:3478333 [wandb_init.py:init():805] starting run threads in backend
2024-05-29 16:21:46,207 INFO    MainThread:3478333 [wandb_run.py:_console_start():2323] atexit reg
2024-05-29 16:21:46,208 INFO    MainThread:3478333 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-05-29 16:21:46,208 INFO    MainThread:3478333 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-05-29 16:21:46,208 INFO    MainThread:3478333 [wandb_run.py:_redirect():2268] Redirects installed.
2024-05-29 16:21:46,209 INFO    MainThread:3478333 [wandb_init.py:init():848] run started, returning control to user process
